optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,0,0.7213513817816167,0.6112135483668457,0.914465,1.305616855621338
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,1,0.01,0.01,0.93042,1.9352927207946777
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,2,0.014271379045693575,0.9905621291068979,0.936721,2.537813425064087
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,3,0.31759928834201745,0.1602307049387882,0.919526,3.452479839324951
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,4,0.9911813710989348,0.01464101563666705,0.947839,5.244675397872925
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,5,0.9943856122809758,0.9920547078828665,0.922968,7.050966501235962
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,6,0.5146503140220866,0.9981871424227565,0.924701,8.27245283126831
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,7,0.010718611567982813,0.4866329515871721,0.931064,8.902465343475342
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,8,0.9987295819069149,0.4613347262295051,0.913716,10.502287149429321
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,9,0.6269786780405978,0.010181708764138805,0.938267,11.858001232147217
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,10,0.2828988901746247,0.7360545068378661,0.923329,12.755175828933716
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,0,0.8987545048885004,0.9166376607384922,0.921618,1.6824281215667725
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,1,0.01,0.01,0.93042,2.3132879734039307
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,2,0.010217307660272332,0.9522480818941244,0.936437,2.9123473167419434
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,3,0.9717015019148758,0.062473743892141366,0.933406,4.686483860015869
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,4,0.4664334857860076,0.46992043215852874,0.914779,5.847416639328003
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,5,0.5102673057504558,0.9993452016983857,0.924723,7.070720195770264
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,6,0.5156166543524623,0.011389740193470214,0.937641,8.173830509185791
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,7,0.011939418336553851,0.47391766749105796,0.930914,8.777770757675171
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,8,0.9974308729598965,0.5210412357198313,0.913913,10.364546298980713
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,9,0.9995101312160498,0.9958272841111646,0.922683,11.964916706085205
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,10,0.2659080173613201,0.7612576414863291,0.924988,12.895535945892334
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,0,0.8698376625807019,0.37611242089526664,0.915908,1.646859884262085
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,1,0.01,1.0,0.936787,2.268381357192993
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,2,0.010005052326377944,0.015602999803068014,0.930363,2.86836576461792
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,3,0.2793655970780658,0.7023435576160801,0.922628,3.758660316467285
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,4,0.9990565800423866,0.9762068044246658,0.922258,5.357567310333252
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,5,0.9965857873964536,0.011442190222089454,0.946711,6.934148073196411
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,6,0.48438679253345496,0.011332155505416277,0.933844,8.014953374862671
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,7,0.5359560290145167,0.9994587952858427,0.925829,9.258000135421753
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,8,0.011659437559754656,0.40081569184125493,0.93015,9.864104986190796
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,9,0.999620922611844,0.6773462434832367,0.91598,11.45789647102356
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,10,0.5626357983198108,0.37079435866497085,0.914825,12.603328704833984
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,0,0.2326506885617045,0.26704773958198424,0.920071,0.8565771579742432
