optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,0,0.15478554262887273,0.7538437500399341,0.92381,0.7878997325897217
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,1,1.0,0.01,0.947013,2.3762781620025635
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,2,0.01107859503358741,0.02334213334479683,0.930287,2.981478452682495
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,3,0.011638760435294743,0.9965829227900416,0.936764,3.592135190963745
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,4,0.9967443195821583,0.9819881415661497,0.922384,5.214933156967163
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,5,0.49326062307712276,0.999485312444966,0.924262,6.4097373485565186
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,6,0.7898651664705755,0.4726101653323425,0.914845,7.977847576141357
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,7,0.4750277577481209,0.012647517835674266,0.93363,9.048423290252686
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,8,0.3532019950434216,0.27488870873065063,0.918783,10.06517219543457
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,9,0.6849203695928326,0.03152746053264086,0.937552,11.331345796585083
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),0,10,0.30181002550624786,0.4870639750395822,0.918916,12.349372386932373
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,0,0.10248640995157401,0.8779835681875128,0.929704,0.7262148857116699
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,1,1.0,0.01,0.947013,2.324044704437256
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,2,0.010812412089235349,0.032424194034852694,0.9302,2.9261319637298584
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,3,0.01028688242081778,0.857277341264691,0.935603,3.5356342792510986
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,4,0.9733131054495053,0.998725190550014,0.922758,5.329106330871582
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,5,0.5835968870883665,0.4759974961062086,0.91451,6.6229212284088135
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,6,0.47209025583877817,0.011988704493058314,0.938897,7.779248476028442
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,7,0.9995992143501481,0.5576317670913731,0.914233,9.371530055999756
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,8,0.013379327656474527,0.42907155611993214,0.930424,9.975865602493286
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,9,0.5767556477699074,0.9995210223355212,0.924426,11.271131992340088
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),1,10,0.28703749085641717,0.4062568822127538,0.919134,12.225688457489014
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,0,0.06055138887995193,0.3495584328109874,0.921748,0.6709907054901123
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,1,1.0,1.0,0.922772,2.296915292739868
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,2,0.010002830655963526,0.5375469314749121,0.931697,2.889490842819214
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,3,0.016273521094868574,0.03027882738688,0.928791,3.5043601989746094
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,4,1.0,0.01,0.947013,5.114173889160156
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,5,0.444687118794755,0.9966148061410128,0.925202,6.152559041976929
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,6,0.7462932143738308,0.5375333704024002,0.91412,7.6586339473724365
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,7,0.5009861162342117,0.010858782058367052,0.940843,8.850927352905273
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,8,0.0127201721824407,0.9914854698103617,0.936728,9.474830389022827
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,9,0.9999657502271486,0.5092879205478833,0.91384,11.06690502166748
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),2,10,0.329433832899729,0.6352453005605306,0.919919,12.062178134918213
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),3,0,0.09367826054781896,0.741850979245563,0.929313,0.7065541744232178
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),3,1,1.0,0.01,0.947013,2.3168599605560303
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),3,2,0.013005105553076301,0.010473083048529345,0.930416,2.9110231399536133
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),3,3,0.010272726649898487,0.8391083339915215,0.935422,3.521684408187866
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),3,4,1.0,1.0,0.922772,5.126250505447388
CustomKernel 2.5 s1e-3 sdi4 + ei (ip 1),3,5,0.5010497038393964,0.9989555389929816,0.926035,6.322670936584473
