optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
Matern 2.5 + ei (ip 1),0,0,0.3929671516685522,0.2891337735604406,0.918505,1.0752339363098145
Matern 2.5 + ei (ip 1),0,1,1.0,1.0,0.922772,2.748839855194092
Matern 2.5 + ei (ip 1),0,2,0.013266948622934528,0.9926438641040847,0.936736,3.3765709400177
Matern 2.5 + ei (ip 1),0,3,0.2926064849307509,0.5218073550321025,0.92047,4.371743440628052
Matern 2.5 + ei (ip 1),0,4,0.9907761557694807,0.031352843706281844,0.944537,6.200989484786987
Matern 2.5 + ei (ip 1),0,5,0.015727822172499142,0.01060374030854469,0.929063,6.824312210083008
Matern 2.5 + ei (ip 1),0,6,0.4999507323581783,0.9994377321524069,0.926044,8.092950344085693
Matern 2.5 + ei (ip 1),0,7,0.9986313625673947,0.5202401211864707,0.913908,9.724568367004395
Matern 2.5 + ei (ip 1),0,8,0.011352026278144425,0.48391451582874556,0.931031,10.397969961166382
Matern 2.5 + ei (ip 1),0,9,0.5536345501771275,0.011976353121479063,0.937208,11.67793083190918
Matern 2.5 + ei (ip 1),0,10,0.7239533972310256,0.6859631946863967,0.915947,13.014242172241211
Matern 2.5 + ei (ip 1),1,0,0.3066098805511764,0.3299890764776256,0.916022,1.0515234470367432
Matern 2.5 + ei (ip 1),1,1,1.0,1.0,0.922772,2.74173903465271
Matern 2.5 + ei (ip 1),1,2,0.9985752242492926,0.019794287680624086,0.945006,4.390684366226196
Matern 2.5 + ei (ip 1),1,3,0.017652475593621604,0.9928078804525245,0.93602,5.018734693527222
Matern 2.5 + ei (ip 1),1,4,0.031605719257923014,0.013523846031571508,0.92878,5.650585651397705
Matern 2.5 + ei (ip 1),1,5,0.5210253820239773,0.9998035123641759,0.925421,7.46708869934082
Matern 2.5 + ei (ip 1),1,6,0.998474630112315,0.565366188405778,0.914316,10.315192937850952
Matern 2.5 + ei (ip 1),1,7,0.011782043990489894,0.5426910317075522,0.931763,10.931723356246948
Matern 2.5 + ei (ip 1),1,8,0.5834389164370324,0.010484537288148117,0.939827,12.250875473022461
Matern 2.5 + ei (ip 1),1,9,0.6387892767230117,0.6254242263961078,0.916075,13.613406658172607
Matern 2.5 + ei (ip 1),1,10,0.803067571329721,0.2788052843913807,0.915978,15.298972606658936
Matern 2.5 + ei (ip 1),2,0,0.21954393271127898,0.7852583036530307,0.925454,0.882758378982544
Matern 2.5 + ei (ip 1),2,1,1.0,0.01,0.947013,3.055572509765625
Matern 2.5 + ei (ip 1),2,2,0.994758908321707,0.9997275291053458,0.923125,5.368067502975464
Matern 2.5 + ei (ip 1),2,3,0.6158487221812824,0.6153442817717587,0.915126,6.897018194198608
Matern 2.5 + ei (ip 1),2,4,0.010399784807563523,0.016724651801078017,0.930352,7.558208227157593
Matern 2.5 + ei (ip 1),2,5,0.49473892289199045,0.01163782031776295,0.93498,8.847554683685303
Matern 2.5 + ei (ip 1),2,6,0.022371836286118236,0.9991414981509482,0.936068,9.588692903518677
Matern 2.5 + ei (ip 1),2,7,0.5693970568485858,0.9983777931920792,0.925326,11.00153374671936
Matern 2.5 + ei (ip 1),2,8,0.5442131063947085,0.22567500668058335,0.920647,12.305330276489258
Matern 2.5 + ei (ip 1),2,9,0.9996947906999799,0.5273274749573327,0.913959,13.972416400909424
Matern 2.5 + ei (ip 1),2,10,0.010562952855976016,0.4349216308550921,0.930484,14.641612529754639
Matern 2.5 + ei (ip 1),3,0,0.07580887813099874,0.18083016587097908,0.922595,0.7036972045898438
Matern 2.5 + ei (ip 1),3,1,1.0,1.0,0.922772,2.426725149154663
Matern 2.5 + ei (ip 1),3,2,0.9868112794749412,0.47137996722051145,0.914797,4.521334171295166
Matern 2.5 + ei (ip 1),3,3,0.47361938296482303,0.03989833776311495,0.93427,6.057126760482788
Matern 2.5 + ei (ip 1),3,4,0.01,1.0,0.936787,6.85993218421936
Matern 2.5 + ei (ip 1),3,5,0.9970825285373645,0.010888393248136917,0.946827,8.854548931121826
Matern 2.5 + ei (ip 1),3,6,0.4491212015145503,0.7200695423103276,0.921082,10.237245559692383
Matern 2.5 + ei (ip 1),3,7,0.016438181170756936,0.0174153109096169,0.928964,10.936378479003906
Matern 2.5 + ei (ip 1),3,8,0.01036472314329677,0.6243401795004958,0.932841,11.627601146697998
Matern 2.5 + ei (ip 1),3,9,0.617618093574067,0.9983396867563943,0.92404,13.35004997253418
Matern 2.5 + ei (ip 1),3,10,0.6970749425205254,0.3440820634095789,0.913323,14.967410326004028
Matern 2.5 + ei (ip 1),4,0,0.8385795232964215,0.8965910835307521,0.919933,1.652557134628296
Matern 2.5 + ei (ip 1),4,1,0.01,0.01,0.93042,2.415786027908325
Matern 2.5 + ei (ip 1),4,2,0.9989530082503579,0.03274213254296563,0.942504,4.276089906692505
Matern 2.5 + ei (ip 1),4,3,0.544910550555316,0.8418653699237647,0.922823,5.760135173797607
Matern 2.5 + ei (ip 1),4,4,0.01409462557604308,0.9872186843494168,0.936698,6.503795146942139
Matern 2.5 + ei (ip 1),4,5,0.013365792511538317,0.5012884844653154,0.931241,7.204601764678955
Matern 2.5 + ei (ip 1),4,6,0.7383666911506558,0.6139426954618376,0.916099,8.914844751358032
Matern 2.5 + ei (ip 1),4,7,0.46767384192298633,0.013630306652699294,0.938604,10.221546173095703
Matern 2.5 + ei (ip 1),4,8,0.9941334678006514,0.9867838755991185,0.92286,12.229688882827759
Matern 2.5 + ei (ip 1),4,9,0.9993872333320453,0.5600615754995143,0.914258,13.941025018692017
Matern 2.5 + ei (ip 1),4,10,0.35675284848553485,0.7423103986436983,0.92218,14.973061084747314
Matern 2.5 + ei (ip 1),5,0,0.4079421449933689,0.09031254412512664,0.924923,1.146256685256958
Matern 2.5 + ei (ip 1),5,1,1.0,1.0,0.922772,2.9592385292053223
Matern 2.5 + ei (ip 1),5,2,0.5596084129690697,0.8654692345072647,0.921888,4.250727891921997
Matern 2.5 + ei (ip 1),5,3,0.6540987000168099,0.9610764638482507,0.923724,5.7905356884002686
Matern 2.5 + ei (ip 1),5,4,0.447847851405538,0.15725678471689156,0.923319,7.065055847167969
Matern 2.5 + ei (ip 1),5,5,0.7828701986449913,0.3375544888787896,0.914255,8.761727809906006
Matern 2.5 + ei (ip 1),5,6,0.011574656092141655,0.9725721195126071,0.936591,9.424583911895752
Matern 2.5 + ei (ip 1),5,7,0.984382521817369,0.010813979685216182,0.945403,11.397726058959961
