optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,0,0.328363608162134,0.8400665602411006,0.828859,74.45942544937134
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,1,1.0,0.1,0.824144,180.63893055915833
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,2,0.010496078130416728,0.11085865564216955,0.837571,228.97996187210083
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,3,0.01059516911653153,0.9735229334420231,0.845143,277.362211227417
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,4,0.9963121201196956,0.9922313412701795,0.83576,384.4203259944916
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,5,0.9994611931208914,0.5514548149533097,0.803207,490.9251456260681
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,6,0.5383024672041724,0.10080903796626944,0.811671,580.9367315769196
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,7,0.01342000836288273,0.5201985818909614,0.838805,629.1549062728882
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,8,0.6869873612253846,0.47128171248005735,0.797003,732.4966013431549
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,9,0.6660375267304689,0.9983191666627864,0.836449,833.499694108963
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,10,0.2972411619052771,0.3120558564408413,0.788267,905.1959657669067
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,0,0.8083276254432019,0.1962589296178639,0.792054,112.43535804748535
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,1,0.01,1.0,0.845773,160.61589741706848
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,2,0.9992882799086089,0.9851770603965706,0.835385,267.6041600704193
