optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
Matern 2.5 + ucb (ip 1),0,0,0.8751262377167149,0.9584247174835764,0.834091,118.11479377746582
Matern 2.5 + ucb (ip 1),0,1,0.01,0.1,0.837855,172.2363395690918
Matern 2.5 + ucb (ip 1),0,2,0.737234686731523,0.847218243142192,0.828071,296.12718629837036
Matern 2.5 + ucb (ip 1),0,3,0.010000000000000009,1.0,0.845773,349.2314462661743
Matern 2.5 + ucb (ip 1),0,4,0.9959046433429787,0.10388052420025834,0.822235,466.8973660469055
Matern 2.5 + ucb (ip 1),0,5,0.6783655226543598,0.7966678899283715,0.825096,560.6274855136871
Matern 2.5 + ucb (ip 1),0,6,0.9998481132323382,0.5599747408901697,0.804026,675.0909917354584
Matern 2.5 + ucb (ip 1),0,7,0.011192727430418966,0.5507201599443474,0.839071,725.6411364078522
Matern 2.5 + ucb (ip 1),0,8,0.5066929265955443,0.10238007870554809,0.810159,820.3009688854218
Matern 2.5 + ucb (ip 1),0,9,0.3579497831755095,0.9994219796442245,0.837236,894.6770677566528
Matern 2.5 + ucb (ip 1),0,10,0.7403639725976907,0.33883739928026557,0.785934,1010.2677848339081
Matern 2.5 + ucb (ip 1),1,0,0.3439328012270962,0.58569485641762,0.810404,80.32551193237305
Matern 2.5 + ucb (ip 1),1,1,1.0,0.1,0.824144,193.80824875831604
Matern 2.5 + ucb (ip 1),1,2,0.9767977656206435,0.9999564074911128,0.836091,331.7835898399353
Matern 2.5 + ucb (ip 1),1,3,0.39809789304198556,0.5806806970196683,0.80933,408.4289040565491
Matern 2.5 + ucb (ip 1),1,4,0.20315994565050297,0.12046112480021562,0.793808,472.63781118392944
Matern 2.5 + ucb (ip 1),1,5,0.011876286578204517,0.9858160514711903,0.845429,523.2732062339783
Matern 2.5 + ucb (ip 1),1,6,0.013229394123028433,0.3217127544270379,0.837503,573.8223202228546
Matern 2.5 + ucb (ip 1),1,7,0.5126344597882521,0.9943994864080766,0.836677,669.066517829895
Matern 2.5 + ucb (ip 1),1,8,0.6004691952818615,0.10200417205414028,0.813171,757.634765625
Matern 2.5 + ucb (ip 1),1,9,0.9998541007176525,0.5303581075126994,0.801181,871.9044094085693
Matern 2.5 + ucb (ip 1),1,10,0.014677620597432307,0.10293494795436464,0.83776,922.4468591213226
Matern 2.5 + ucb (ip 1),2,0,0.9764829361956525,0.4097527159445631,0.790272,136.7820336818695
Matern 2.5 + ucb (ip 1),2,1,0.01,1.0,0.845773,187.22174668312073
Matern 2.5 + ucb (ip 1),2,2,0.019154098178717844,0.10020743589044051,0.82516,238.57761359214783
Matern 2.5 + ucb (ip 1),2,3,0.3415009989571426,0.6901159234083315,0.819359,318.81570053100586
Matern 2.5 + ucb (ip 1),2,4,0.9898847249196498,0.998641835935892,0.836034,458.36378026008606
Matern 2.5 + ucb (ip 1),2,5,0.7770746511962254,0.10062830583539054,0.819366,577.651980638504
Matern 2.5 + ucb (ip 1),2,6,0.9999614741595105,0.10660022139111242,0.820939,691.2340116500854
Matern 2.5 + ucb (ip 1),2,7,0.010548356413476415,0.5072427983141259,0.838698,741.5207929611206
Matern 2.5 + ucb (ip 1),2,8,0.5997730441393788,0.9959240291272382,0.836272,830.3409702777863
Matern 2.5 + ucb (ip 1),2,9,0.3380806078678127,0.22595997113116872,0.787669,910.0620617866516
Matern 2.5 + ucb (ip 1),2,10,0.7512731137652982,0.6498134981720596,0.813364,1026.5484068393707
Matern 2.5 + ucb (ip 1),3,0,0.202959291121109,0.9989352635768052,0.838355,64.01941990852356
Matern 2.5 + ucb (ip 1),3,1,1.0,0.1,0.824144,179.54337072372437
Matern 2.5 + ucb (ip 1),3,2,0.011577487484088225,0.10152392122170262,0.837804,230.06452918052673
Matern 2.5 + ucb (ip 1),3,3,0.9998895133806839,0.522914346703982,0.800464,344.0809557437897
Matern 2.5 + ucb (ip 1),3,4,0.9993025551039388,0.994097688482565,0.835859,458.6826424598694
Matern 2.5 + ucb (ip 1),3,5,0.5238060673351426,0.40448136529661427,0.791864,542.1884202957153
Matern 2.5 + ucb (ip 1),3,6,0.013105444723276294,0.590929584361461,0.839446,592.5621998310089
Matern 2.5 + ucb (ip 1),3,7,0.6114562033945178,0.8284349699321379,0.827381,697.5367708206177
Matern 2.5 + ucb (ip 1),3,8,0.5412344664521789,0.10188432539787601,0.811301,794.4794135093689
Matern 2.5 + ucb (ip 1),3,9,0.010735129277370638,0.996480965445544,0.845685,844.8496217727661
Matern 2.5 + ucb (ip 1),3,10,0.8058928867716094,0.29768655874131006,0.784264,966.7039411067963
Matern 2.5 + ucb (ip 1),4,0,0.0931349757745234,0.49171039641674563,0.809089,59.73873424530029
Matern 2.5 + ucb (ip 1),4,1,1.0,1.0,0.836169,174.14298033714294
Matern 2.5 + ucb (ip 1),4,2,0.9972361214168658,0.10466313328037531,0.82186,287.0845625400543
Matern 2.5 + ucb (ip 1),4,3,0.8725306091817248,0.6183020062797211,0.810466,415.6348316669464
Matern 2.5 + ucb (ip 1),4,4,0.016362907549069317,0.9871567457527289,0.844543,466.7653012275696
Matern 2.5 + ucb (ip 1),4,5,0.3895597659244513,0.1001182852731312,0.805692,552.2029144763947
Matern 2.5 + ucb (ip 1),4,6,0.011723088636902225,0.12210645047457729,0.837401,602.582745552063
Matern 2.5 + ucb (ip 1),4,7,0.48148026108957287,0.9997229855121854,0.837254,684.2045407295227
Matern 2.5 + ucb (ip 1),4,8,0.6541960850104662,0.31295274899535325,0.785648,791.1783862113953
Matern 2.5 + ucb (ip 1),4,9,0.4241278167564163,0.6166762497064174,0.812054,877.6491901874542
Matern 2.5 + ucb (ip 1),4,10,0.9984453756035985,0.40037442678296264,0.789069,992.2378520965576
Matern 2.5 + ucb (ip 1),5,0,0.2001185264956482,0.8076265651173166,0.828126,63.73370122909546
Matern 2.5 + ucb (ip 1),5,1,1.0,0.1,0.824144,176.72555470466614
Matern 2.5 + ucb (ip 1),5,2,0.44701357725763907,0.4420510216261807,0.795559,266.23045206069946
Matern 2.5 + ucb (ip 1),5,3,0.01,0.1,0.837855,316.39723801612854
Matern 2.5 + ucb (ip 1),5,4,1.0,1.0,0.836169,430.49801421165466
Matern 2.5 + ucb (ip 1),5,5,0.9970194740647113,0.5298865015290182,0.801136,535.7129752635956
Matern 2.5 + ucb (ip 1),5,6,0.5671553916393166,0.9983768574109393,0.836309,627.9806370735168
Matern 2.5 + ucb (ip 1),5,7,0.014095354286155833,0.9833708969501694,0.845372,676.2524733543396
Matern 2.5 + ucb (ip 1),5,8,0.5373672026382695,0.1012183817958863,0.811529,766.0841543674469
Matern 2.5 + ucb (ip 1),5,9,0.010021671651516802,0.508112308957343,0.838705,814.2657961845398
Matern 2.5 + ucb (ip 1),5,10,0.73398260464996,0.6854336130771327,0.816518,920.6276581287384
Matern 2.5 + ucb (ip 1),6,0,0.8472155334144241,0.789258415484372,0.824277,115.7883665561676
Matern 2.5 + ucb (ip 1),6,1,0.01,0.1,0.837855,164.62405109405518
Matern 2.5 + ucb (ip 1),6,2,0.010499885457544648,0.9999793212759048,0.845772,212.68614792823792
Matern 2.5 + ucb (ip 1),6,3,0.7083343862403941,0.7543218901639137,0.822118,317.42601132392883
Matern 2.5 + ucb (ip 1),6,4,0.9913773326789517,0.10151829969574439,0.823343,443.5403642654419
Matern 2.5 + ucb (ip 1),6,5,0.9980406139088176,0.9919657809028545,0.835746,550.1801681518555
Matern 2.5 + ucb (ip 1),6,6,0.510311359476048,0.10441665238044412,0.809504,638.0264935493469
Matern 2.5 + ucb (ip 1),6,7,0.012008417728055052,0.5094804872696582,0.838716,686.2541165351868
Matern 2.5 + ucb (ip 1),6,8,0.4682940543807492,0.9999000164831332,0.837893,771.6441230773926
Matern 2.5 + ucb (ip 1),6,9,0.9986336392872315,0.44555662273106544,0.793085,878.195422410965
Matern 2.5 + ucb (ip 1),6,10,0.3525239393840005,0.4111460528789761,0.793878,953.7737641334534
Matern 2.5 + ucb (ip 1),7,0,0.5875713822494788,0.7760665222641073,0.823957,94.69429898262024
Matern 2.5 + ucb (ip 1),7,1,0.01,0.1,0.837855,143.07154965400696
