optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,0,0.2989039219196056,0.6925739909543214,0.871128,8.432272672653198
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,1,1.0,0.01,0.964128,21.120734453201294
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,2,0.01,0.010000000000000002,0.885151,26.91744637489319
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,3,0.017223843379050734,0.9990627868914776,0.894234,32.85762572288513
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,4,1.0,1.0,0.882137,45.397258043289185
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,5,0.5648597400775287,0.9993114675209062,0.883801,54.87536311149597
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,6,0.9987837292000512,0.5430294000652038,0.855303,67.14246964454651
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,7,0.5184232617561761,0.20162849537863708,0.866292,76.33128142356873
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,8,0.011230059688002066,0.4061771579540076,0.88503,82.1826765537262
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,9,0.7248329624025585,0.6381002954946311,0.862836,93.18932485580444
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,10,0.30277650718819704,0.010088673112879951,0.906385,101.76276898384094
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,0,0.787448496352112,0.33302942326021373,0.853471,13.345417499542236
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,1,0.01,1.0,0.892425,19.213428735733032
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,2,0.01091037831911762,0.021905360413807622,0.885039,25.089224338531494
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,3,0.7992629929057158,0.15813793511284854,0.880143,36.195908546447754
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,4,0.9943897826396543,0.9938812173977627,0.882126,51.39877986907959
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,5,0.4633941042542749,0.7592098624869266,0.872588,61.48418474197388
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,6,0.010836900933157399,0.4637175539242981,0.885342,67.5576651096344
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,7,0.9996954570811434,0.43655294168964837,0.851258,79.92731714248657
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,8,0.3423110841248774,0.16773657832217362,0.869324,88.91730308532715
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,9,0.6007014325519665,0.9988891888361761,0.883975,98.64634871482849
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,10,0.9999009780466684,0.01510435978818466,0.959402,111.08425784111023
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,0,0.6612233451587076,0.7604207127813158,0.871253,11.871426343917847
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,1,0.01,0.01,0.885151,17.5103702545166
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,2,0.011965244854333291,0.9918248810895453,0.892229,23.397062063217163
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,3,0.9291355261579475,0.12122917583200549,0.89538,37.81892251968384
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,4,0.9958514627255802,0.9898458941701183,0.881675,49.938053607940674
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,5,0.01012364765384466,0.49703736541434645,0.885554,55.82821798324585
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,6,0.45887286713097225,0.014947445321617707,0.922293,65.80950975418091
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,7,0.9982858843089799,0.5639925133986865,0.856479,78.10314011573792
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,8,0.3676670110236633,0.9991055272507524,0.884949,89.20210075378418
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,9,0.6181562803484548,0.3669993844445944,0.852938,101.03299283981323
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,10,0.32310985686505084,0.5957997924564463,0.864508,109.58606147766113
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,0,0.13640488611764132,0.9427383595539139,0.885519,7.207562685012817
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,1,1.0,0.01,0.964128,19.60806107521057
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,2,0.014587384716732415,0.01523099413328823,0.885099,27.303075313568115
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,3,0.9955758069377447,0.9914803659829002,0.881749,42.0925989151001
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,4,0.49461146952297064,0.5238827291094422,0.857965,52.21887516975403
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,5,0.0136953597835994,0.4957211604402544,0.885545,58.62573599815369
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,6,0.4564851321590685,0.01074374518654804,0.924535,68.49898362159729
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,7,0.9986539980209328,0.5721141482306271,0.856955,80.79720187187195
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,8,0.5924697782177062,0.9996414165452996,0.883607,92.25544881820679
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,9,0.010202427355969976,0.9902437694157237,0.892192,98.07577919960022
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,10,0.7669516507821255,0.7526841458745046,0.870441,115.6894462108612
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,0,0.09653814316449301,0.7374951340341317,0.878279,6.991570234298706
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,1,1.0,0.010000000000000009,0.964128,21.915776014328003
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,2,0.9875115348913485,0.9950110899812831,0.882177,37.3466010093689
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,3,0.016678562001870685,0.011452833216377105,0.878168,43.106937408447266
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,4,0.01490028182329219,0.9908231579400099,0.892206,49.177003622055054
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,5,0.5079667320186166,0.9991300338320142,0.884129,59.43607807159424
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,6,0.7147245075151566,0.48467310566763916,0.854021,71.64245247840881
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,7,0.44905625609066374,0.013010456769552765,0.923043,81.50824451446533
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,8,0.9989981589655578,0.612015620348419,0.859417,93.67796564102173
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,9,0.01306773956714868,0.33265688850648045,0.884732,99.44111895561218
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,10,0.7670435558625759,0.7913629707228172,0.872698,112.92458915710449
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,0,0.4616223531600746,0.288535892933895,0.856082,9.928623676300049
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,1,1.0,1.0,0.882137,22.164247512817383
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,2,0.013948932211169114,0.9912947286884163,0.892217,27.96132802963257
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,3,0.1364091283782928,0.8830263984079216,0.883253,35.119539976119995
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,4,0.18405073398301292,0.2988856300899192,0.857536,43.32404923439026
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,5,0.511542774340487,0.8623977089498293,0.878175,53.685218334198
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,6,0.9859773568962673,0.014401904512086065,0.959687,68.79771089553833
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,7,0.01845294034786541,0.01139171476557126,0.878169,74.58524560928345
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,8,0.9996427785912395,0.5587295575082758,0.856176,86.77825212478638
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,9,0.01236460845568005,0.5729044963124221,0.886126,93.40654969215393
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,10,0.392570001686459,0.011038001270055626,0.915916,103.02098965644836
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),6,0,0.7180712059172414,0.7139615220805355,0.867836,13.342017412185669
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),6,1,0.01,0.01,0.885151,19.304608583450317
