optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
Matern 2.5 + ei (ip 1),0,0,0.9168686628733282,0.5969335365489029,0.859555,21.096699714660645
Matern 2.5 + ei (ip 1),0,1,0.01,0.01,0.885151,28.07005548477173
Matern 2.5 + ei (ip 1),0,2,0.023873830697025776,0.9990756887754019,0.894235,34.33253622055054
Matern 2.5 + ei (ip 1),0,3,0.2943625701822292,0.3271645930307912,0.855668,43.07932162284851
Matern 2.5 + ei (ip 1),0,4,1.0,0.01,0.964128,55.79819107055664
Matern 2.5 + ei (ip 1),0,5,1.0,1.0,0.882137,68.46957778930664
Matern 2.5 + ei (ip 1),0,6,0.011638481259866738,0.5162476164960433,0.885687,74.64869117736816
Matern 2.5 + ei (ip 1),0,7,0.5366152641707835,0.9612132074152817,0.882912,85.87982821464539
Matern 2.5 + ei (ip 1),0,8,0.5374112148403005,0.01259585427966945,0.930915,97.04682183265686
Matern 2.5 + ei (ip 1),0,9,0.4995027660988164,0.6053600065419276,0.862532,107.7675039768219
Matern 2.5 + ei (ip 1),0,10,0.7465852595137864,0.324013949308329,0.853652,121.18526816368103
Matern 2.5 + ei (ip 1),1,0,0.4895362892511705,0.4593162619062557,0.85495,11.030683994293213
Matern 2.5 + ei (ip 1),1,1,1.0,1.0,0.882137,23.9480402469635
Matern 2.5 + ei (ip 1),1,2,0.012503187562257356,0.9993714601537161,0.89241,29.96634602546692
Matern 2.5 + ei (ip 1),1,3,0.9935244267354102,0.01365805776678377,0.960361,45.26620173454285
Matern 2.5 + ei (ip 1),1,4,0.01,0.010000000000000009,0.885151,51.37744951248169
Matern 2.5 + ei (ip 1),1,5,0.4859521981297013,0.9990753026995225,0.883948,61.9175181388855
Matern 2.5 + ei (ip 1),1,6,0.010140275907874955,0.5074806515401751,0.885625,67.98537731170654
Matern 2.5 + ei (ip 1),1,7,0.9986348084907032,0.5584166945511625,0.856158,80.66846656799316
Matern 2.5 + ei (ip 1),1,8,0.42551216886884885,0.011649216966507541,0.920978,90.88111424446106
Matern 2.5 + ei (ip 1),1,9,0.7526609224552993,0.739453271871588,0.869062,104.12383031845093
Matern 2.5 + ei (ip 1),1,10,0.26961363669826544,0.7388430306411012,0.87443,112.59922647476196
Matern 2.5 + ei (ip 1),2,0,0.30143147782406193,0.22964645586080767,0.862182,8.699290037155151
Matern 2.5 + ei (ip 1),2,1,1.0,1.0,0.882137,21.457154035568237
Matern 2.5 + ei (ip 1),2,2,0.030985098453806613,0.9878417193651724,0.892806,27.399325370788574
Matern 2.5 + ei (ip 1),2,3,0.023390425184133392,0.3349544530833357,0.876961,34.607842683792114
Matern 2.5 + ei (ip 1),2,4,0.9897461168817127,0.014763749263632026,0.95936,50.240413188934326
Matern 2.5 + ei (ip 1),2,5,0.015163143997360847,0.014058965194218186,0.878118,56.41211128234863
Matern 2.5 + ei (ip 1),2,6,0.535847485969866,0.9985869373362166,0.884455,67.7284951210022
Matern 2.5 + ei (ip 1),2,7,0.9008752620849407,0.5712789306346314,0.858294,82.22148489952087
Matern 2.5 + ei (ip 1),2,8,0.33958586553023,0.6676147133493269,0.868283,91.5591151714325
Matern 2.5 + ei (ip 1),2,9,0.5976608706872749,0.010440832542272438,0.93736,101.51233196258545
Matern 2.5 + ei (ip 1),2,10,0.6270265116248929,0.4085290560544258,0.852296,113.42233037948608
Matern 2.5 + ei (ip 1),3,0,0.1505533771991927,0.13984692111886962,0.864549,7.653822660446167
Matern 2.5 + ei (ip 1),3,1,1.0,1.0,0.882137,20.6846182346344
Matern 2.5 + ei (ip 1),3,2,0.015266533809930285,0.9989113995500893,0.894228,27.131054639816284
Matern 2.5 + ei (ip 1),3,3,0.7461835390043202,0.6986382873984451,0.866444,40.320399045944214
