optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,0,0.023321317617949477,0.7191163539165978,0.933356,0.670490026473999
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,1,1.0,0.01,0.947864,3.3846209049224854
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,2,0.01117232753688421,0.04759976872757976,0.930972,4.035057067871094
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,3,0.011149996790463834,0.03252344030638388,0.9313,4.686558961868286
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,4,0.49418274782737204,0.9213701330404248,0.921621,6.580777883529663
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,5,0.9964735809618763,0.9914093840186528,0.920449,9.339561700820923
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,6,0.010812804942847112,0.9949427737580184,0.936165,9.986969709396362
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,7,0.9975499130419547,0.5299136286778906,0.912033,12.786331415176392
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,8,0.5091873597816587,0.1343083288833169,0.92414,14.675701379776001
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,9,0.3895453311634316,0.3020603869711892,0.914998,16.31948757171631
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),0,10,0.7128163797699923,0.6118190216195748,0.914197,18.725491762161255
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,0,0.8476943152217253,0.5916464424335658,0.914142,2.7065725326538086
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,1,0.010000000000000009,0.01,0.93184,3.3812644481658936
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,2,0.011452249164367719,0.9999502100104166,0.936207,4.017180919647217
CustomKernel 2.5 s1e-3 sdi4 + ucb (ip 1),1,3,0.011204609176066915,0.06128099776955395,0.930695,4.6659815311431885
