optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,0,0.7817381686833959,0.09814730456096654,0.932077,2.508749008178711
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,1,0.01,1.0,0.936208,3.182432174682617
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,2,0.010171005095657926,0.020823611440085942,0.931573,3.8251657485961914
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,3,0.011933877596520908,0.06041546979824465,0.930712,4.468991279602051
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,4,0.9297275910677418,0.22244429604585023,0.91806,7.363298654556274
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,5,1.0,1.0,0.920651,10.121686935424805
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,6,0.5227313791099125,0.6242132522442213,0.914684,11.84723162651062
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,7,0.010930045565083145,0.5589155838017897,0.930881,12.490624904632568
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,8,0.5345193700573394,0.9983524994697286,0.924823,14.453746318817139
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,9,0.9917759352024678,0.01299751091278531,0.942134,17.4502694606781
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),0,10,0.9976885058437645,0.6511304324004501,0.913291,20.19051766395569
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,0,0.6854232842686763,0.27285898087936283,0.915735,2.3244290351867676
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,1,0.010000000000000064,1.0,0.936208,3.0009188652038574
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,2,0.9980007263057329,0.9886108987388125,0.920383,5.747844934463501
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,3,0.010459094369163853,0.07615762086362386,0.930418,6.389741897583008
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,4,0.9903695288781983,0.014895758038090713,0.941762,9.381382703781128
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,5,0.5172402211653835,0.9972015122798328,0.922774,11.107730865478516
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,6,0.010084762058621277,0.5449544676260673,0.9307,11.757652521133423
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,7,0.9982438870768074,0.5289460261938436,0.912028,14.455620527267456
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,8,0.3860029233395266,0.01189100174519292,0.934507,16.07734489440918
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,9,0.44169515095398365,0.63004709852502,0.917035,17.654863834381104
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),1,10,0.0866725036934949,0.9660436921048365,0.929569,18.52466320991516
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,0,0.6915410428791491,0.26452958264208715,0.916031,2.3261008262634277
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,1,0.010000000000000009,1.0,0.936208,2.9999005794525146
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,2,0.9922761703835004,0.9916378327717431,0.920188,6.066593408584595
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,3,0.010520787081363314,0.03100556833917352,0.931335,6.707281589508057
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,4,0.9943858063679891,0.01960669116377988,0.940852,9.699692010879517
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,5,0.5277533246204221,0.9992880414158525,0.924842,11.655003070831299
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,6,0.010467430230024489,0.5284639504009115,0.930493,12.296399354934692
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,7,0.9978164343399405,0.5496928280532399,0.912147,15.0037260055542
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,8,0.38489238808520243,0.010411339408008643,0.938145,16.58481216430664
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,9,0.4310193083797949,0.626155699824877,0.918253,18.30441164970398
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),2,10,0.7752802060321413,0.7638614595365832,0.91785,20.85183358192444
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,0,0.033375732843050204,0.29002444570388014,0.924842,0.7025513648986816
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,1,1.0,1.0,0.920651,3.476693868637085
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,2,0.01027321415616662,0.9853309658287134,0.936083,4.121688604354858
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,3,0.012796217367907994,0.014038753904872626,0.931739,4.767214775085449
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,4,0.9965841547096371,0.02035370528386565,0.945663,7.4422852993011475
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,5,0.5385980108313991,0.6717780636359874,0.915284,9.403207540512085
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,6,0.9990520859545091,0.5389337420859631,0.912079,12.109412908554077
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,7,0.4790452342289892,0.012095019948980273,0.943086,13.73640513420105
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,8,0.5272778764187828,0.9997224379372488,0.924851,15.70110297203064
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,9,0.8389739150533407,0.31199055839260487,0.915295,18.0802104473114
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),3,10,0.0107273216136732,0.6610765503415604,0.932271,18.734771251678467
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,0,0.5487757374424168,0.04291844155046129,0.932757,1.9589953422546387
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,1,0.01,1.0,0.936208,2.638047456741333
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,2,0.010878369001786193,0.013129225511559452,0.931761,3.2837297916412354
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,3,0.010167349650804505,0.02646243501957172,0.93144,3.9300484657287598
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,4,0.29951480629265853,0.24745952827227125,0.916511,5.325728416442871
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,5,1.0,1.0,0.920651,8.109133958816528
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,6,0.9988822901992573,0.30568015354575107,0.915182,10.813069820404053
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,7,0.5816933700054709,0.8413490537550439,0.920394,12.887033700942993
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,8,0.9988567679389728,0.01754894838789973,0.946248,15.573256969451904
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,9,0.012867021440623055,0.5951380670952813,0.931363,16.216495275497437
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),4,10,0.9998064112862157,0.7137396385609494,0.914341,18.9462411403656
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,0,0.6967750206260389,0.053135321348571456,0.933425,2.323791980743408
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,1,0.01,1.0,0.936208,2.9915075302124023
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,2,0.010749289394108368,0.08412224952847627,0.930279,3.634744644165039
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,3,0.010501233515395536,0.04259115868994177,0.931078,4.279733657836914
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,4,0.19483352808980262,0.9979535404661813,0.927953,5.426418781280518
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,5,0.9925583665303608,0.992976632708546,0.920219,8.504329919815063
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,6,0.531934394468339,0.5470826242476952,0.916109,10.454501867294312
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,7,0.9995716762440625,0.29919694202038827,0.915448,13.15189266204834
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,8,0.011895325458953093,0.548339207047086,0.930744,13.803657054901123
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,9,0.9896715298526159,0.01872923013963467,0.94102,16.822086811065674
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),5,10,0.6764369773099081,0.9959559981412407,0.922337,18.897541046142578
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,0,0.6925716883661537,0.8664146222655388,0.920311,2.340703248977661
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,1,0.01,0.010000000000000009,0.93184,3.0352489948272705
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,2,0.010508458072533226,0.9883125303081952,0.936109,3.6806836128234863
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,3,0.011809093013069807,0.03514986668193257,0.931241,4.327686786651611
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,4,0.7875654021189001,0.8165528310164794,0.917977,6.9104766845703125
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,5,0.7442721586373935,0.5282759036261675,0.91404,9.34534740447998
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,6,0.9900094880725673,0.01936675409974089,0.940898,12.341181993484497
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,7,0.9955236451364666,0.9858623162640883,0.920318,15.088915348052979
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,8,0.5058983762863452,0.010464719293348936,0.940229,16.96194624900818
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,9,0.010697496519799536,0.514820383114946,0.930326,17.61574125289917
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),6,10,0.999234851267731,0.519084636503066,0.911989,20.34743905067444
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,0,0.0855631102543195,0.5103879641822716,0.922138,0.8663098812103271
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,1,1.0,0.01,0.947864,3.5770978927612305
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,2,0.9893957781961787,0.9987749668209572,0.920356,6.660452127456665
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,3,0.011927606174904775,0.999880928239845,0.936207,7.31402063369751
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,4,0.018235064754455473,0.012194326579932422,0.931024,7.988969087600708
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,5,0.5349895442777152,0.9980926077250776,0.924818,9.9490807056427
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,6,0.9939766559776645,0.559694581898612,0.911556,12.981281280517578
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,7,0.493123938020811,0.01666297115000618,0.93508,14.84437870979309
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,8,0.5569723739991741,0.37200574033987927,0.91412,16.656355142593384
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,9,0.5630625427870501,0.8478980431982608,0.920874,18.496115684509277
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),7,10,0.6159101902644532,0.35296076444452723,0.914343,20.65899896621704
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,0,0.05432433632700467,0.8489725260344777,0.931607,0.7468581199645996
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,1,0.9999999999999999,0.01,0.947864,3.4647018909454346
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,2,0.010559774282308913,0.024900148525443346,0.931476,4.109070062637329
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,3,0.011508104143597233,0.9900962357960349,0.936124,4.75319504737854
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,4,0.9944777030863368,0.9933784462201067,0.920229,7.818021535873413
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,5,0.5284382551427848,0.9996479223271925,0.924849,9.779696226119995
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,6,0.6537821132018271,0.47019711037917417,0.912003,12.00417709350586
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,7,0.46108643377207786,0.011236834497967483,0.936344,13.786249876022339
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,8,0.9999966083031943,0.5891597891617516,0.912492,16.51501202583313
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,9,0.010498610768033784,0.3904734017273153,0.929106,17.1646146774292
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),8,10,0.25562781917627997,0.7216202707229317,0.921618,18.456642389297485
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,0,0.4624648870319431,0.36402535868079056,0.913826,1.7946560382843018
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,1,1.0,1.0,0.920651,4.569105863571167
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,2,0.014823073854027674,0.9878081790038967,0.936104,5.212427377700806
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,3,0.01044746966411602,0.06775787995614287,0.930571,5.857483386993408
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,4,0.9928170568852881,0.014477830980594967,0.941843,8.871617317199707
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,5,0.9990084205395986,0.545076311061315,0.912117,11.600833892822266
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,6,0.5332249760990095,0.999607787111576,0.924848,13.569657802581787
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,7,0.012700848924419634,0.53133014033519,0.930528,14.212244510650635
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,8,0.501398919404768,0.010494492310936406,0.940534,16.076995849609375
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,9,0.7281738354559472,0.7185550922749314,0.917167,18.51770782470703
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),9,10,0.2777623231045542,0.7585599599032259,0.92195,19.745521306991577
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),10,0,0.6222719124165127,0.11377267629390554,0.927357,2.1435580253601074
CustomKernel 2.5 s1e-4 sdi4 + ei (ip 1),10,1,0.01,1.0,0.936208,2.8083136081695557
