optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
Matern 2.5 + ucb (ip 1),0,0,0.6510179484647475,0.7717800598316336,0.917399,2.3698439598083496
Matern 2.5 + ucb (ip 1),0,1,0.01,0.01,0.93184,3.0598297119140625
Matern 2.5 + ucb (ip 1),0,2,0.9965587875744536,0.022853595678842053,0.945149,5.786118984222412
Matern 2.5 + ucb (ip 1),0,3,0.9780989526506462,0.6301436895876165,0.913449,8.835859537124634
Matern 2.5 + ucb (ip 1),0,4,0.02115790441873969,0.9951590605855299,0.936149,9.551565170288086
Matern 2.5 + ucb (ip 1),0,5,0.9957911543242894,0.9975576829947289,0.920593,12.402187824249268
Matern 2.5 + ucb (ip 1),0,6,0.010392183917074761,0.4986868982478331,0.930135,13.090293407440186
Matern 2.5 + ucb (ip 1),0,7,0.47827121442076714,0.018912259886060333,0.941832,15.213337898254395
Matern 2.5 + ucb (ip 1),0,8,0.6860758305588052,0.9653611559872266,0.922523,18.33520197868347
Matern 2.5 + ucb (ip 1),0,9,0.7320955022158929,0.2659652847246875,0.918265,21.04447889328003
Matern 2.5 + ucb (ip 1),0,10,0.3204896899186663,0.40779301623107367,0.915975,22.727878093719482
Matern 2.5 + ucb (ip 1),1,0,0.19393028700128384,0.5281009540470453,0.918625,1.1753273010253906
Matern 2.5 + ucb (ip 1),1,1,1.0,0.01,0.947864,4.0134806632995605
Matern 2.5 + ucb (ip 1),1,2,0.993227154487961,0.9934335194300239,0.92023,7.127127170562744
Matern 2.5 + ucb (ip 1),1,3,0.3852414211217802,0.7314347436160754,0.919647,8.797683000564575
Matern 2.5 + ucb (ip 1),1,4,0.6765363977966562,0.4890196593192952,0.912121,11.023431301116943
Matern 2.5 + ucb (ip 1),1,5,0.028684553663486878,0.011869364325415601,0.927699,11.73103642463684
Matern 2.5 + ucb (ip 1),1,6,0.010922316515237515,0.9975914788238098,0.936188,12.382753849029541
Matern 2.5 + ucb (ip 1),1,7,0.48986170614489466,0.010053604869585196,0.936192,14.282998085021973
Matern 2.5 + ucb (ip 1),1,8,0.9970868444531837,0.599839637873125,0.912609,17.059666395187378
Matern 2.5 + ucb (ip 1),1,9,0.4882469537853099,0.4569364409750063,0.913324,18.94741988182068
Matern 2.5 + ucb (ip 1),1,10,0.6938419327152537,0.9004545600722754,0.921075,21.30534839630127
Matern 2.5 + ucb (ip 1),2,0,0.8152858666990873,0.599738081660374,0.91284,2.6713109016418457
Matern 2.5 + ucb (ip 1),2,1,0.01,0.010000000000000009,0.93184,3.354180335998535
Matern 2.5 + ucb (ip 1),2,2,0.013920841700228188,0.9966711866960378,0.93618,4.042491436004639
Matern 2.5 + ucb (ip 1),2,3,0.06877677906603848,0.8194661700649803,0.926025,4.926908016204834
Matern 2.5 + ucb (ip 1),2,4,0.9956041478378678,0.02015868081395651,0.945703,7.639041423797607
Matern 2.5 + ucb (ip 1),2,5,0.9963109379686201,0.9853176720584277,0.920305,10.425923347473145
Matern 2.5 + ucb (ip 1),2,6,0.4928695846083538,0.9997898073347209,0.923337,12.38474702835083
Matern 2.5 + ucb (ip 1),2,7,0.4729394862233758,0.01280159785560121,0.938048,14.193809270858765
Matern 2.5 + ucb (ip 1),2,8,0.8364455383747632,0.11848346255382117,0.929163,16.572450876235962
Matern 2.5 + ucb (ip 1),2,9,0.014956801644051623,0.3704065803965187,0.928977,17.21851897239685
Matern 2.5 + ucb (ip 1),2,10,0.9988314158522336,0.44751290135611177,0.912093,19.935213088989258
Matern 2.5 + ucb (ip 1),3,0,0.21283653655895796,0.4978286445892424,0.918146,1.1934621334075928
Matern 2.5 + ucb (ip 1),3,1,1.0,1.0,0.920651,3.9946508407592773
Matern 2.5 + ucb (ip 1),3,2,0.8817360323201704,0.4043379313139886,0.913284,6.5648193359375
Matern 2.5 + ucb (ip 1),3,3,0.35210753701484615,0.3513236781441936,0.916018,8.081212282180786
Matern 2.5 + ucb (ip 1),3,4,0.659714544362609,0.9438652765240326,0.922721,10.366228342056274
Matern 2.5 + ucb (ip 1),3,5,0.7691069853940637,0.24951134541170886,0.917197,12.928558588027954
Matern 2.5 + ucb (ip 1),3,6,0.21041793759367283,0.2255411062561558,0.918337,14.108927488327026
Matern 2.5 + ucb (ip 1),3,7,0.678248516689651,0.6726222102389241,0.91488,16.387423038482666
Matern 2.5 + ucb (ip 1),3,8,0.42072283649236986,0.7927165788778091,0.920754,18.52317214012146
Matern 2.5 + ucb (ip 1),3,9,0.7205751480178119,0.8050644723637187,0.919358,20.827522039413452
Matern 2.5 + ucb (ip 1),3,10,0.8742158449220595,0.5931811345510584,0.912958,23.7643084526062
Matern 2.5 + ucb (ip 1),4,0,0.8028094786434111,0.529334233406312,0.913282,2.3763890266418457
Matern 2.5 + ucb (ip 1),4,1,0.01,0.01,0.93184,3.0988807678222656
Matern 2.5 + ucb (ip 1),4,2,0.0354494213092887,0.9995033776781739,0.933768,3.845895767211914
Matern 2.5 + ucb (ip 1),4,3,0.43260589269160543,0.23615543926932828,0.918069,5.693922519683838
Matern 2.5 + ucb (ip 1),4,4,0.99958536676181,0.014675782012999357,0.946855,8.502965211868286
Matern 2.5 + ucb (ip 1),4,5,0.9899760556332123,0.9996477774292789,0.920376,11.652616262435913
Matern 2.5 + ucb (ip 1),4,6,0.010196280083507052,0.5192168079362213,0.930379,12.30527138710022
Matern 2.5 + ucb (ip 1),4,7,0.5087512782198934,0.9966946812084033,0.925077,14.273054122924805
Matern 2.5 + ucb (ip 1),4,8,0.6228477669814265,0.010361886093111193,0.942792,16.511316776275635
Matern 2.5 + ucb (ip 1),4,9,0.9986486259590508,0.4841163049551238,0.911948,19.28598141670227
Matern 2.5 + ucb (ip 1),4,10,0.31894591268684613,0.7065793376605087,0.920232,20.640243768692017
Matern 2.5 + ucb (ip 1),5,0,0.8784436949840364,0.4264253832409632,0.913116,2.525266408920288
Matern 2.5 + ucb (ip 1),5,1,0.01,1.0,0.936208,3.218461275100708
Matern 2.5 + ucb (ip 1),5,2,0.015893755746729396,0.011500120723158475,0.931045,3.899587869644165
Matern 2.5 + ucb (ip 1),5,3,0.8947777846022522,0.2804921363380482,0.914705,6.791961908340454
Matern 2.5 + ucb (ip 1),5,4,0.03589704781965858,0.4361535661831237,0.925504,7.515821218490601
Matern 2.5 + ucb (ip 1),5,5,0.9915285947895452,0.9998125996404056,0.92038,10.654946565628052
Matern 2.5 + ucb (ip 1),5,6,0.515157173999898,0.9989128499018014,0.922813,12.423955202102661
Matern 2.5 + ucb (ip 1),5,7,0.983422017102819,0.014716174002859041,0.943682,15.4536452293396
Matern 2.5 + ucb (ip 1),5,8,0.4747832206357454,0.013001310002527154,0.938013,17.316786289215088
Matern 2.5 + ucb (ip 1),5,9,0.3962218231775725,0.6102411219962951,0.917989,18.84238314628601
Matern 2.5 + ucb (ip 1),5,10,0.9997373976689127,0.6677465451130473,0.913549,21.64686417579651
Matern 2.5 + ucb (ip 1),6,0,0.02488204336635836,0.15468919974468429,0.928281,0.6767423152923584
Matern 2.5 + ucb (ip 1),6,1,1.0,1.0,0.920651,3.4941110610961914
Matern 2.5 + ucb (ip 1),6,2,0.9835650412238109,0.01670913602581543,0.943275,6.5488121509552
Matern 2.5 + ucb (ip 1),6,3,0.8951847706573063,0.8757415247775238,0.917311,9.449453830718994
Matern 2.5 + ucb (ip 1),6,4,0.029302612099576256,0.9882741295570006,0.933463,10.154875993728638
Matern 2.5 + ucb (ip 1),6,5,0.43438284497806373,0.010938647609144092,0.939045,11.90042519569397
Matern 2.5 + ucb (ip 1),6,6,0.3137326697364881,0.5271998920146899,0.916748,13.35948133468628
Matern 2.5 + ucb (ip 1),6,7,0.9999445739795928,0.4702920269182876,0.911978,16.123605251312256
Matern 2.5 + ucb (ip 1),6,8,0.48132109658215017,0.9997149364100576,0.925593,17.826022148132324
Matern 2.5 + ucb (ip 1),6,9,0.8998739977879398,0.14516539122600552,0.923894,20.694267511367798
Matern 2.5 + ucb (ip 1),6,10,0.014703579523240052,0.6038411130297976,0.931482,21.353132963180542
Matern 2.5 + ucb (ip 1),7,0,0.8315238503926652,0.1903972165594475,0.91994,2.702669858932495
Matern 2.5 + ucb (ip 1),7,1,0.01,1.0,0.936208,3.399172782897949
Matern 2.5 + ucb (ip 1),7,2,0.013632989058488712,0.01272563112784605,0.931771,4.058245658874512
Matern 2.5 + ucb (ip 1),7,3,0.1311843803826827,0.5108113638205277,0.920182,5.0681469440460205
Matern 2.5 + ucb (ip 1),7,4,0.9949172760421525,0.9992354933900399,0.920366,8.191303014755249
Matern 2.5 + ucb (ip 1),7,5,0.5115294602072644,0.9995997756988306,0.925135,10.135924816131592
Matern 2.5 + ucb (ip 1),7,6,0.9956122109812412,0.01604536090177355,0.946565,12.880703926086426
Matern 2.5 + ucb (ip 1),7,7,0.998972701268011,0.548908065353562,0.912141,15.655786514282227
Matern 2.5 + ucb (ip 1),7,8,0.44263691639124725,0.011100216889632267,0.938096,17.264912605285645
Matern 2.5 + ucb (ip 1),7,9,0.6504554266548372,0.644598979703563,0.914526,19.743094444274902
Matern 2.5 + ucb (ip 1),7,10,0.011214166794942927,0.30017520860399327,0.928715,20.49934697151184
Matern 2.5 + ucb (ip 1),8,0,0.7008281056829523,0.7503332384997878,0.917745,2.4200215339660645
Matern 2.5 + ucb (ip 1),8,1,0.01,0.01,0.93184,3.104574203491211
Matern 2.5 + ucb (ip 1),8,2,0.9874502585757892,0.017520178606736048,0.941252,6.125363111495972
Matern 2.5 + ucb (ip 1),8,3,0.2374938984571551,0.6000593644515111,0.9213,7.595516920089722
Matern 2.5 + ucb (ip 1),8,4,0.010758664527381811,0.9953706322259864,0.936169,8.29189419746399
Matern 2.5 + ucb (ip 1),8,5,0.9999947525961337,0.9972844211621733,0.920587,11.350467920303345
Matern 2.5 + ucb (ip 1),8,6,0.9987388850179739,0.5166672650610485,0.911981,14.13188099861145
Matern 2.5 + ucb (ip 1),8,7,0.4883237386716043,0.010304183946100534,0.936149,16.025633573532104
Matern 2.5 + ucb (ip 1),8,8,0.1758060672322915,0.8972833711833343,0.927291,17.391417026519775
Matern 2.5 + ucb (ip 1),8,9,0.4966582885173404,0.7402231229998626,0.919207,19.56384801864624
Matern 2.5 + ucb (ip 1),8,10,0.08837374869382146,0.09950579393497577,0.924323,20.464590549468994
Matern 2.5 + ucb (ip 1),9,0,0.10451102161174769,0.2715556458688075,0.920302,0.9476592540740967
Matern 2.5 + ucb (ip 1),9,1,1.0,1.0,0.920651,3.8909852504730225
Matern 2.5 + ucb (ip 1),9,2,0.126040532635788,0.9251676295663944,0.92753,4.927317142486572
Matern 2.5 + ucb (ip 1),9,3,0.9147401885473473,0.7202518879403036,0.915643,7.8278796672821045
Matern 2.5 + ucb (ip 1),9,4,0.8917706375023344,0.7767897271561949,0.915411,10.691636562347412
Matern 2.5 + ucb (ip 1),9,5,0.2677237014125535,0.7003951017325325,0.922652,12.053345203399658
Matern 2.5 + ucb (ip 1),9,6,0.03821389925091364,0.7944616540641916,0.931082,12.761570692062378
Matern 2.5 + ucb (ip 1),9,7,0.9980707075393158,0.013734677385374724,0.947056,15.464540243148804
Matern 2.5 + ucb (ip 1),9,8,0.01353994403571841,0.01074365499608776,0.931821,16.1116840839386
Matern 2.5 + ucb (ip 1),9,9,0.5292176792680384,0.015375832130040915,0.944097,18.034276247024536
Matern 2.5 + ucb (ip 1),9,10,0.6122178835826408,0.99914953767685,0.923495,20.209693670272827
Matern 2.5 + ucb (ip 1),10,0,0.3446456426825706,0.7310238742164326,0.919708,1.4924952983856201
Matern 2.5 + ucb (ip 1),10,1,1.0,0.01,0.947864,4.208584547042847
Matern 2.5 + ucb (ip 1),10,2,0.012239924113897745,0.03063144934422074,0.931343,4.849510431289673
Matern 2.5 + ucb (ip 1),10,3,0.7804105287439179,0.8042900966992239,0.918698,7.422774076461792
Matern 2.5 + ucb (ip 1),10,4,0.015536889598184785,0.9993719389399124,0.936179,8.093717813491821
Matern 2.5 + ucb (ip 1),10,5,0.9948252840111307,0.9999422073039356,0.920383,11.142041444778442
Matern 2.5 + ucb (ip 1),10,6,0.9999198746831187,0.5098124612949468,0.911963,13.850107192993164
Matern 2.5 + ucb (ip 1),10,7,0.4854344420097164,0.011013713526010558,0.936028,15.697513341903687
Matern 2.5 + ucb (ip 1),10,8,0.013141185638936436,0.5054026247628223,0.930213,16.339333295822144
Matern 2.5 + ucb (ip 1),10,9,0.4448501259101665,0.9996532587342228,0.92472,17.899179697036743
Matern 2.5 + ucb (ip 1),10,10,0.6413449678397494,0.3413427682965862,0.914199,19.871747970581055
Matern 2.5 + ucb (ip 1),11,0,0.13711742761087303,0.5478247458327358,0.921624,0.9994597434997559
Matern 2.5 + ucb (ip 1),11,1,1.0,0.01,0.947864,3.722989797592163
Matern 2.5 + ucb (ip 1),11,2,0.9941659570137271,0.9954221583944359,0.920277,6.776631832122803
Matern 2.5 + ucb (ip 1),11,3,0.29310714655005127,0.3515266342441909,0.914832,8.162122964859009
Matern 2.5 + ucb (ip 1),11,4,0.01,0.01,0.93184,8.814910650253296
Matern 2.5 + ucb (ip 1),11,5,0.34306551470454316,0.9985639596922034,0.925141,10.288376569747925
Matern 2.5 + ucb (ip 1),11,6,0.997524903258856,0.5318580723488052,0.912042,13.014700412750244
Matern 2.5 + ucb (ip 1),11,7,0.010585258862382055,0.998074914389269,0.936192,13.653731107711792
Matern 2.5 + ucb (ip 1),11,8,0.5165876813229018,0.010187057243641493,0.938105,15.374338865280151
Matern 2.5 + ucb (ip 1),11,9,0.6812175563260715,0.6995076177997442,0.915438,17.420292854309082
Matern 2.5 + ucb (ip 1),11,10,0.7716183741414517,0.27514518266121696,0.91611,19.93746018409729
Matern 2.5 + ucb (ip 1),12,0,0.7911978094638646,0.7647593082150589,0.916816,2.5626444816589355
Matern 2.5 + ucb (ip 1),12,1,0.01,0.01,0.93184,3.2247626781463623
Matern 2.5 + ucb (ip 1),12,2,0.016934943250858585,0.9981456855795665,0.93617,3.885464668273926
Matern 2.5 + ucb (ip 1),12,3,0.914778679258511,0.18995574991750738,0.919493,6.7110514640808105
Matern 2.5 + ucb (ip 1),12,4,0.9906134264653407,0.9915375922380792,0.920186,9.7516610622406
Matern 2.5 + ucb (ip 1),12,5,0.5473766286593716,0.011890266091255621,0.937564,11.721456289291382
Matern 2.5 + ucb (ip 1),12,6,0.011545641585353036,0.4700233281247909,0.929816,12.357484102249146
Matern 2.5 + ucb (ip 1),12,7,0.9852512863472952,0.01144457996102614,0.942442,15.352996587753296
Matern 2.5 + ucb (ip 1),12,8,0.49824774449314024,0.9992639631163751,0.924615,17.241523027420044
Matern 2.5 + ucb (ip 1),12,9,0.4026402909132485,0.4555146527979193,0.915812,18.71574378013611
Matern 2.5 + ucb (ip 1),12,10,0.9999446049655356,0.5138298966410317,0.911973,21.43655252456665
Matern 2.5 + ucb (ip 1),13,0,0.8076342463138513,0.48487156999845,0.913773,2.6007211208343506
Matern 2.5 + ucb (ip 1),13,1,0.01,1.0,0.936208,3.264824867248535
Matern 2.5 + ucb (ip 1),13,2,0.022455243208303517,0.010017494410542498,0.93109,3.9334444999694824
Matern 2.5 + ucb (ip 1),13,3,0.3953941543932966,0.3036598596687199,0.916269,5.387105941772461
Matern 2.5 + ucb (ip 1),13,4,0.9921884987486601,0.011094045132678827,0.942512,8.379521369934082
Matern 2.5 + ucb (ip 1),13,5,0.9956273660442209,0.9994797200154814,0.920638,11.106857299804688
