optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,0,0.7134086031805096,0.20602037102910406,0.786717,191.14673972129822
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,1,0.01,1.0,0.84372,247.0461926460266
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,2,1.0,1.0,0.83365,445.5487473011017
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,3,0.014343804065664684,0.10098621414220614,0.837277,502.3028712272644
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,4,0.9909305350941521,0.1046638806446269,0.813219,727.4222269058228
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,5,0.9999353663842122,0.5492764496163042,0.802652,906.9103877544403
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,6,0.4462044868455608,0.7307281743358942,0.819841,1036.8649101257324
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,7,0.010755016865673449,0.5354932191802181,0.838381,1088.7360391616821
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,8,0.3839114727226161,0.10459810926540318,0.796765,1203.2407743930817
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,9,0.624294709105294,0.9999850675662876,0.834295,1356.7563951015472
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,10,0.35465635789413136,0.35340676458530385,0.789603,1468.4684793949127
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,0,0.9327567969436741,0.8795336743311624,0.827804,205.07517457008362
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,1,0.01,0.1,0.837293,256.85691690444946
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,2,0.015396771875673437,0.9685844174918022,0.843233,310.23196363449097
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,3,0.3567364256677428,0.2877512724269209,0.785568,405.4146902561188
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,4,1.0,0.1,0.815355,581.8438684940338
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,5,0.544157140513026,0.9997874328284284,0.834392,722.5029094219208
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,6,0.010985490147123578,0.5310103597185648,0.838349,774.1461794376373
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,7,0.7782270352212838,0.48354656360173265,0.79737,956.1963732242584
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,8,0.6047042555987391,0.10080793451487947,0.80521,1081.7089393138885
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,9,0.37143471097563946,0.6980141033373736,0.81766,1198.9999125003815
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,10,0.9995587531378252,0.45925409256107386,0.794486,1376.8754713535309
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,0,0.5842728392302887,0.7478001435889202,0.820783,146.88475346565247
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,1,0.01,0.1,0.837293,198.2935507297516
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,2,0.011567813094766191,0.9956629350165818,0.843647,249.75985503196716
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,3,0.9884910719367627,0.1020264568255258,0.814283,459.58077812194824
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,4,0.9949152308934257,0.9984651981236726,0.833916,672.4300916194916
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,5,0.9999126228660877,0.5444485552914512,0.802213,849.3726336956024
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,6,0.011513259138918704,0.5267903338352635,0.838319,901.0295979976654
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,7,0.5073662238994879,0.10131702593645803,0.802026,1035.9639484882355
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,8,0.7394056967277098,0.32777634466790184,0.784843,1207.9729590415955
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,9,0.423621410587275,0.9998470407114896,0.834716,1330.6090910434723
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,10,0.3383577189559555,0.3718599577946905,0.790766,1438.5375628471375
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,0,0.6103865984289772,0.45643615063847476,0.79548,151.43632698059082
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,1,0.01,1.0,0.84372,202.98391890525818
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,2,1.0,1.0,0.83365,381.6090257167816
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,3,0.012544038112538295,0.10604041832119979,0.837208,433.18398213386536
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,4,1.0,0.1,0.815355,609.7397236824036
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,5,0.5397675831539817,0.10012890210764024,0.803563,748.5556523799896
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,6,0.49548535217650097,0.9982736429259363,0.834483,884.011069059372
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,7,0.07626024323490357,0.5480606296177215,0.812392,944.2773494720459
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,8,0.9989563184502769,0.5931289674634272,0.806627,1122.3108987808228
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,9,0.5794445814193911,0.26541684317054154,0.783721,1268.4964010715485
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),3,10,0.2847969703511422,0.2963190625795938,0.787172,1354.8396565914154
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,0,0.05523842173159361,0.5377924239572521,0.813152,61.600170850753784
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,1,1.0,1.0,0.83365,240.08092975616455
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,2,0.010524448187692544,0.11325528889101512,0.837136,291.7322585582733
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,3,0.011784345551743347,0.9725509416764558,0.843271,343.43310165405273
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,4,1.0,0.1,0.815355,519.3783922195435
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,5,0.5598385697802131,0.4744978759180397,0.797241,641.2638609409332
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,6,0.9990136271430126,0.5404954562176492,0.801855,818.4857087135315
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,7,0.5040044373910586,0.9993587708405071,0.83454,954.244297504425
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,8,0.5199176020555828,0.10127440640249921,0.802213,1069.9029881954193
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,9,0.7822342597819452,0.7685682791876679,0.821409,1250.7393674850464
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),4,10,0.8000216455539484,0.2735155003871579,0.783553,1401.9319660663605
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,0,0.10886100675848769,0.7596196574593242,0.824991,72.45977473258972
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,1,1.0,0.1,0.815355,247.92755889892578
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,2,0.011302106789313359,0.13090037358144718,0.837035,299.59352803230286
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,3,0.7504493416560433,0.5549780004486616,0.803541,476.0412940979004
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,4,0.998770877304379,0.9880927642178151,0.833057,654.0787091255188
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,5,0.49267326797116084,0.9999550130016115,0.834761,789.1464145183563
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,6,0.5244522241772042,0.10143556403748753,0.802173,904.628438949585
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),5,7,0.02463871514740244,0.9977108984875641,0.843739,957.9702608585358
