optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,0,0.6161736544986288,0.5210642491386076,0.855018,12.88240361213684
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,1,0.01,0.01,0.884451,17.475171327590942
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,2,0.01340245762153506,0.9961493430518269,0.891509,22.041711568832397
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,3,0.9961148699269988,0.012201512337664994,0.949774,38.680948972702026
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,4,1.0,1.0,0.880287,55.14447045326233
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,5,0.5105370439595012,0.9994042652914502,0.882895,66.69887804985046
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,6,0.01109906396212834,0.5019205640382698,0.885288,71.25400185585022
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,7,0.42795575368280614,0.012461902250051636,0.910911,81.94952964782715
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,8,0.998329384217665,0.5573337795514972,0.854887,96.25114941596985
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,9,0.2764783170250849,0.733025711932503,0.87097,105.64745593070984
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),0,10,0.7924959444835453,0.7853660224777146,0.870151,120.82773637771606
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,0,0.12883236888084257,0.15669611502014602,0.861298,6.588464021682739
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,1,1.0,1.0,0.880287,21.049220323562622
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,2,0.010694352233219353,0.9799279750049934,0.891168,25.598705291748047
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,3,0.9185655775402056,0.1762467508754048,0.873712,38.966222047805786
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,4,0.5090049903970261,0.6075894872628163,0.861423,50.44123291969299
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,5,0.47933034287633536,0.010673394879041358,0.918153,61.70188045501709
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,6,0.010580849126566993,0.5462264550521335,0.885594,66.24641180038452
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,7,0.996258029063984,0.5735977446219792,0.855812,81.74801874160767
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,8,0.011964286265796825,0.03741873562364415,0.884356,86.29886507987976
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,9,0.4967498941025979,0.9998662591104133,0.882479,97.77243161201477
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),1,10,0.9994432290332018,0.022870159031043755,0.941866,111.80287671089172
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,0,0.21966350619612704,0.4645607420179757,0.858184,7.705206871032715
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,1,1.0,1.0,0.880287,24.538318872451782
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,2,0.010672974042236674,0.9881824125906788,0.89134,29.11366367340088
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,3,0.998931814818421,0.02356252238868216,0.941376,43.8189377784729
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,4,0.012752884271926366,0.02092181965684726,0.88441,48.382384300231934
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,5,0.5092365548063355,0.9975910984388185,0.88282,59.9322669506073
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,6,0.9994242223785349,0.5582013562475455,0.854936,74.25852251052856
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,7,0.4842108061824277,0.011669044155807294,0.917714,83.49042844772339
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,8,0.6758244400107722,0.6119769492105224,0.860365,94.65946102142334
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,9,0.010822137823220087,0.6141889521426412,0.886139,99.23059892654419
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),2,10,0.7638964727421106,0.29791478609097705,0.854563,111.20196723937988
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,0,0.5143981730681877,0.230609734093097,0.859588,11.44492244720459
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,1,0.01,1.0,0.891592,16.036510467529297
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,2,0.996928614864828,0.9903095248832262,0.879835,30.474660396575928
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,3,0.5371558392538288,0.24335155743835352,0.859102,42.26241111755371
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,4,0.6408180107825101,0.41501668243007783,0.851791,53.0186550617218
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,5,0.9957550052547911,0.011858491013269806,0.95004,67.08499956130981
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,6,0.013160583330954928,0.01610674999458314,0.884428,71.64987325668335
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,7,0.5184232336985162,0.9998236060103926,0.882027,81.38649249076843
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,8,0.010839818273466327,0.4781883356904336,0.88514,85.95873188972473
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,9,0.9998358828931267,0.5366782536891983,0.853775,100.32318997383118
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),3,10,0.3202780489176247,0.6860624810013888,0.868385,107.88698530197144
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,0,0.3030609757160824,0.19368527508898453,0.861042,8.699433088302612
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,1,1.0,1.0,0.880287,23.12905263900757
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,2,0.010079226556565537,0.9884464772468761,0.891346,27.670086145401
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,3,0.572158049457695,0.9344610378653396,0.879122,40.03577160835266
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,4,0.9841287025411387,0.010249861636674991,0.952511,57.06714224815369
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,5,0.011253727025832262,0.01134545203858851,0.884446,61.61099910736084
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,6,0.011043430393325098,0.4757439918001394,0.885126,66.16469502449036
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,7,0.9987506762229987,0.5719444002606892,0.855716,80.42407774925232
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,8,0.6696421177367162,0.42057473526565414,0.850861,93.83449864387512
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,9,0.5480257575532763,0.014255396342636579,0.920943,105.6702606678009
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),4,10,0.3296346745646864,0.6451276660971638,0.86561,115.09022116661072
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,0,0.8877535401458488,0.14486369884865297,0.882995,16.310079097747803
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,1,0.01,1.0,0.891592,20.891090631484985
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,2,0.010242038288754744,0.01239612354565112,0.884442,25.43834614753723
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,3,0.8868177735666081,0.1616663106688597,0.878062,41.7518835067749
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,4,0.9910303486529798,0.729325290634506,0.86566,59.3918251991272
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,5,0.4291702745648349,0.5311849805984543,0.857297,70.4973578453064
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,6,0.6781578833905926,0.9999471426628272,0.881324,81.70867586135864
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,7,0.011188005325594915,0.49007443015501373,0.885213,86.2661464214325
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,8,0.4508210274391073,0.012932028350794426,0.914456,97.09378170967102
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,9,0.9983094035218397,0.9873921985046515,0.879698,111.49421095848083
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),5,10,0.9952960091151698,0.0207227514431917,0.943404,125.50308012962341
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,0,0.33635217180252885,0.04770009932256714,0.890333,9.17036247253418
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,1,1.0,1.0,0.880287,23.595625638961792
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,2,0.013478788194298381,0.9716742912483052,0.891,28.133984804153442
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,3,0.6385478930217662,0.40922609323262077,0.851727,38.855727434158325
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,4,0.9962801900326694,0.018077028747615066,0.945334,52.85391163825989
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,5,0.011031297622359057,0.3579128298866426,0.884553,57.391961336135864
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,6,0.5222178960018448,0.9997300510069893,0.882023,67.07357621192932
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,7,0.996682678797833,0.5918175903729658,0.856887,81.36268830299377
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,8,0.013652607923731998,0.019867407028775697,0.884414,85.91744256019592
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,9,0.32094653194850287,0.6778528218984963,0.867897,93.4973657131195
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),6,10,0.7674368836796597,0.7607934988083992,0.868761,108.64434361457825
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,0,0.7112664951800542,0.28008746931074285,0.855161,14.068469762802124
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,1,0.01,1.0,0.891592,18.636512279510498
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,2,0.012608035454500816,0.011744291096563938,0.884444,23.18228316307068
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,3,0.7443215436672124,0.9419028849141865,0.878475,37.67264771461487
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,4,0.9977068831617897,0.0194685424004293,0.944314,51.759888648986816
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,5,0.0141800716817383,0.5096686741388985,0.885339,56.30142617225647
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,6,0.9991835156362082,0.604995739180052,0.857685,70.68209743499756
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,7,0.9962228794906328,0.999572379720884,0.880267,85.10546922683716
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,8,0.39055355407402376,0.012058440775612553,0.905009,95.20414614677429
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,9,0.4193107051795333,0.6064290049730638,0.862599,105.64057421684265
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),7,10,0.34239559639419953,0.9972302331831682,0.883782,114.92758822441101
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,0,0.11602816655662514,0.8412160238226676,0.880055,5.679391145706177
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,1,1.0,0.010000000000000009,0.951495,19.759073734283447
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,2,0.011048786679581299,0.023582225302779883,0.884401,24.342128038406372
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,3,0.7808114554150557,0.8996899208872692,0.876539,39.50635838508606
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,4,0.9968199079287913,0.9954195948297927,0.880074,53.95398545265198
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,5,0.9937809631370654,0.5603604474386478,0.854946,71.52673125267029
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,6,0.36522575002358165,0.3750983929756992,0.85378,84.56972432136536
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,7,0.011045640772056785,0.43808798653797404,0.884915,89.1344518661499
CustomKernel 2.5 s1e-3 sdi3 + ucb (ip 1),8,8,0.5130498902443368,0.011198233158529339,0.920247,101.11181855201721
