optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
Matern 2.5 + ucb (ip 1),0,0,0.7477840839745344,0.7195873476196869,0.866691,15.174591779708862
Matern 2.5 + ucb (ip 1),0,1,0.010000000000000009,0.01,0.884451,19.79227352142334
Matern 2.5 + ucb (ip 1),0,2,0.011301335517783746,0.9952227003465507,0.891489,24.35256862640381
Matern 2.5 + ucb (ip 1),0,3,0.3629114824751325,0.7189931574839312,0.869964,32.40154480934143
Matern 2.5 + ucb (ip 1),0,4,0.999749064876926,0.018710838427817962,0.944868,46.39841914176941
Matern 2.5 + ucb (ip 1),0,5,0.9955594603588088,0.9961179738271014,0.880107,60.82524633407593
Matern 2.5 + ucb (ip 1),0,6,0.011164263061740813,0.5108641163079022,0.885347,65.42681050300598
Matern 2.5 + ucb (ip 1),0,7,0.4704423217263737,0.011927805483077251,0.915683,76.54961228370667
Matern 2.5 + ucb (ip 1),0,8,0.5977014102274675,0.9997165884629,0.882063,87.08615350723267
Matern 2.5 + ucb (ip 1),0,9,0.9969528019097923,0.4730079188912873,0.850984,101.41748046875
Matern 2.5 + ucb (ip 1),0,10,0.6161077116209711,0.3573464808972187,0.850854,114.31213855743408
Matern 2.5 + ucb (ip 1),1,0,0.748534108873111,0.526148761430126,0.854765,14.865401268005371
Matern 2.5 + ucb (ip 1),1,1,0.01,0.01,0.884451,19.45354461669922
Matern 2.5 + ucb (ip 1),1,2,0.023776691998104352,0.9958154895791352,0.890775,24.200810432434082
Matern 2.5 + ucb (ip 1),1,3,0.774145094552073,0.29532912173234177,0.853973,39.33893418312073
Matern 2.5 + ucb (ip 1),1,4,0.5020151982997355,0.3353745678117393,0.851994,50.747822761535645
Matern 2.5 + ucb (ip 1),1,5,0.9882126506517495,0.9927037136476912,0.880199,68.53707981109619
Matern 2.5 + ucb (ip 1),1,6,0.9990337038687042,0.011075125420214023,0.950651,82.60611915588379
Matern 2.5 + ucb (ip 1),1,7,0.011973191033100605,0.48245869732868935,0.885166,87.16678786277771
Matern 2.5 + ucb (ip 1),1,8,0.5371266348942023,0.9993191673225897,0.88227,99.08207392692566
Matern 2.5 + ucb (ip 1),1,9,0.5196946089458878,0.011355908921996321,0.920587,108.63738560676575
