n_factors,reg_weight,rmse
10,0.0,0.925812
10,0.01,0.921186
10,0.02,0.919493
10,0.03,0.919715
10,0.04,0.921025
10,0.05,0.922872
10,0.06,0.924942
10,0.07,0.927057
10,0.08,0.929088
10,0.09,0.930941
20,0.0,0.93097
20,0.01,0.922538
20,0.02,0.918853
20,0.03,0.918234
20,0.04,0.919338
20,0.05,0.921198
20,0.06,0.923295
20,0.07,0.925404
20,0.08,0.92741
20,0.09,0.929244
30,0.0,0.934422
30,0.01,0.924163
30,0.02,0.919157
30,0.03,0.917462
30,0.04,0.917699
30,0.05,0.918961
30,0.06,0.920741
30,0.07,0.922766
30,0.08,0.924853
30,0.09,0.926866
40,0.0,0.935564
40,0.01,0.923107
40,0.02,0.91651
40,0.03,0.913756
40,0.04,0.913461
40,0.05,0.914617
40,0.06,0.916525
40,0.07,0.918772
40,0.08,0.921142
40,0.09,0.923507
50,0.0,0.942025
50,0.01,0.927518
50,0.02,0.91958
50,0.03,0.91602
50,0.04,0.915305
50,0.05,0.91629
50,0.06,0.918169
50,0.07,0.920436
50,0.08,0.922794
50,0.09,0.925058
60,0.0,0.948574
60,0.01,0.932435
60,0.02,0.923143
60,0.03,0.918427
60,0.04,0.916704
60,0.05,0.916807
60,0.06,0.917953
60,0.07,0.919676
60,0.08,0.921701
60,0.09,0.923834
70,0.0,0.944115
70,0.01,0.928106
70,0.02,0.919087
70,0.03,0.914689
70,0.04,0.913367
70,0.05,0.913974
70,0.06,0.915661
70,0.07,0.917879
70,0.08,0.920314
70,0.09,0.922772
80,0.0,0.944079
80,0.01,0.928339
80,0.02,0.919413
80,0.03,0.915041
80,0.04,0.913763
80,0.05,0.914463
80,0.06,0.916286
80,0.07,0.918645
80,0.08,0.921177
80,0.09,0.923652
90,0.0,0.947113
90,0.01,0.930209
90,0.02,0.920431
90,0.03,0.915373
90,0.04,0.913501
90,0.05,0.913682
90,0.06,0.915076
90,0.07,0.917126
90,0.08,0.919491
90,0.09,0.921952
100,0.0,0.945976
100,0.01,0.928991
100,0.02,0.919208
100,0.03,0.914155
100,0.04,0.912288
100,0.05,0.912495
100,0.06,0.913951
100,0.07,0.916091
100,0.08,0.918558
100,0.09,0.921127
