n_factors,reg_weight,rmse
10,0.01,0.923355
10,0.02,0.920793
10,0.03,0.920297
10,0.04,0.920795
10,0.05,0.921799
10,0.06,0.923133
10,0.07,0.924694
10,0.08,0.926374
10,0.09,0.928063
10,0.1,0.929669
20,0.01,0.926838
20,0.02,0.921951
20,0.03,0.920071
20,0.04,0.919932
20,0.05,0.920719
20,0.06,0.922004
20,0.07,0.923566
20,0.08,0.92525
20,0.09,0.92693
20,0.1,0.928507
30,0.01,0.922868
30,0.02,0.917645
30,0.03,0.915983
30,0.04,0.916444
30,0.05,0.918014
30,0.06,0.920066
30,0.07,0.92226
30,0.08,0.924404
30,0.09,0.926371
30,0.1,0.928091
40,0.01,0.926891
40,0.02,0.91962
40,0.03,0.916334
40,0.04,0.915554
40,0.05,0.916261
40,0.06,0.917801
40,0.07,0.919784
40,0.08,0.921962
40,0.09,0.924143
40,0.1,0.92617
50,0.01,0.928411
50,0.02,0.920543
50,0.03,0.916648
50,0.04,0.915298
50,0.05,0.915522
50,0.06,0.916692
50,0.07,0.918418
50,0.08,0.92044
50,0.09,0.922565
50,0.1,0.92463
60,0.01,0.928674
60,0.02,0.920154
60,0.03,0.915935
60,0.04,0.914509
60,0.05,0.914804
60,0.06,0.916094
60,0.07,0.917938
60,0.08,0.920067
60,0.09,0.922293
60,0.1,0.924451
70,0.01,0.927207
70,0.02,0.918502
70,0.03,0.914234
70,0.04,0.912857
70,0.05,0.913261
70,0.06,0.914681
70,0.07,0.916644
70,0.08,0.918874
70,0.09,0.921194
70,0.1,0.923454
80,0.01,0.932393
80,0.02,0.922028
80,0.03,0.916302
80,0.04,0.913706
80,0.05,0.913167
80,0.06,0.91392
80,0.07,0.915452
80,0.08,0.917442
80,0.09,0.919676
80,0.1,0.921981
90,0.01,0.928872
90,0.02,0.919357
90,0.03,0.914307
90,0.04,0.912165
90,0.05,0.911849
90,0.06,0.912616
90,0.07,0.914011
90,0.08,0.915789
90,0.09,0.917822
90,0.1,0.920013
100,0.01,0.932108
100,0.02,0.921391
100,0.03,0.915414
100,0.04,0.912625
100,0.05,0.911946
100,0.06,0.912611
100,0.07,0.914094
100,0.08,0.916061
100,0.09,0.918301
100,0.1,0.920651
