n_factors,reg_weight,rmse
10,0.01,0.793639
10,0.02,0.792329
10,0.03,0.794389
10,0.04,0.799772
10,0.05,0.80758
10,0.06,0.815333
10,0.07,0.82144
10,0.08,0.826599
10,0.09,0.83177
10,0.1,0.837547
20,0.01,0.79138
20,0.02,0.787191
20,0.03,0.789012
20,0.04,0.795185
20,0.05,0.80342
20,0.06,0.812144
20,0.07,0.819472
20,0.08,0.825189
20,0.09,0.830175
20,0.1,0.835561
30,0.01,0.794389
30,0.02,0.786206
30,0.03,0.786676
30,0.04,0.792968
30,0.05,0.801438
30,0.06,0.810734
30,0.07,0.81883
30,0.08,0.824609
30,0.09,0.829483
30,0.1,0.834651
40,0.01,0.798435
40,0.02,0.786493
40,0.03,0.785755
40,0.04,0.792102
40,0.05,0.800761
40,0.06,0.809939
40,0.07,0.81809
40,0.08,0.824267
40,0.09,0.829526
40,0.1,0.834937
50,0.01,0.801725
50,0.02,0.786585
50,0.03,0.784955
50,0.04,0.791474
50,0.05,0.800349
50,0.06,0.809528
50,0.07,0.817846
50,0.08,0.824282
50,0.09,0.829438
50,0.1,0.834575
60,0.01,0.805442
60,0.02,0.7871
60,0.03,0.784365
60,0.04,0.790641
60,0.05,0.799372
60,0.06,0.808337
60,0.07,0.816886
60,0.08,0.823604
60,0.09,0.829062
60,0.1,0.834255
70,0.01,0.808522
70,0.02,0.787595
70,0.03,0.78406
70,0.04,0.790246
70,0.05,0.798994
70,0.06,0.80786
70,0.07,0.816435
70,0.08,0.823388
70,0.09,0.828942
70,0.1,0.834152
80,0.01,0.811044
80,0.02,0.787964
80,0.03,0.783853
80,0.04,0.79002
80,0.05,0.798929
80,0.06,0.808008
80,0.07,0.816583
80,0.08,0.823352
80,0.09,0.828703
80,0.1,0.833652
90,0.01,0.812773
90,0.02,0.78794
90,0.03,0.783339
90,0.04,0.789497
90,0.05,0.79853
90,0.06,0.8077
90,0.07,0.816341
90,0.08,0.823197
90,0.09,0.828683
90,0.1,0.833747
100,0.01,0.815355
100,0.02,0.788608
100,0.03,0.783346
100,0.04,0.789288
100,0.05,0.798183
100,0.06,0.807249
100,0.07,0.815975
100,0.08,0.823092
100,0.09,0.828677
100,0.1,0.83365
