n_factors,reg_weight,rmse
10,0.0,0.874482
10,0.01,0.867206
10,0.02,0.861614
10,0.03,0.860781
10,0.04,0.863009
10,0.05,0.867254
10,0.06,0.872067
10,0.07,0.876602
10,0.08,0.880557
10,0.09,0.884105
20,0.0,0.890357
20,0.01,0.871818
20,0.02,0.861697
20,0.03,0.856986
20,0.04,0.857325
20,0.05,0.861363
20,0.06,0.867088
20,0.07,0.8729
20,0.08,0.878111
20,0.09,0.8828
30,0.0,0.910396
30,0.01,0.881621
30,0.02,0.865267
30,0.03,0.857131
30,0.04,0.856055
30,0.05,0.859605
30,0.06,0.865194
30,0.07,0.871266
30,0.08,0.876929
30,0.09,0.881765
40,0.0,0.922671
40,0.01,0.885964
40,0.02,0.865477
40,0.03,0.855501
40,0.04,0.853965
40,0.05,0.857681
40,0.06,0.863558
40,0.07,0.869742
40,0.08,0.875423
40,0.09,0.880321
50,0.0,0.935386
50,0.01,0.890811
50,0.02,0.866929
50,0.03,0.855381
50,0.04,0.852948
50,0.05,0.856148
50,0.06,0.861925
50,0.07,0.868266
50,0.08,0.874208
50,0.09,0.879422
60,0.0,0.945198
60,0.01,0.894296
60,0.02,0.86757
60,0.03,0.854814
60,0.04,0.851976
60,0.05,0.855092
60,0.06,0.86094
60,0.07,0.867528
60,0.08,0.87373
60,0.09,0.879103
70,0.0,0.956879
70,0.01,0.899656
70,0.02,0.869987
70,0.03,0.855674
70,0.04,0.852043
70,0.05,0.854775
70,0.06,0.860406
70,0.07,0.866847
70,0.08,0.872988
70,0.09,0.878389
80,0.0,0.961374
80,0.01,0.900509
80,0.02,0.869727
80,0.03,0.855097
80,0.04,0.851369
80,0.05,0.854162
80,0.06,0.859992
80,0.07,0.866623
80,0.08,0.872837
80,0.09,0.878192
90,0.0,0.970569
90,0.01,0.905583
90,0.02,0.872934
90,0.03,0.857138
90,0.04,0.852489
90,0.05,0.854554
90,0.06,0.859825
90,0.07,0.866068
90,0.08,0.872138
90,0.09,0.877566
100,0.0,0.97498
100,0.01,0.905429
100,0.02,0.87169
100,0.03,0.855614
100,0.04,0.850918
100,0.05,0.853066
100,0.06,0.858505
100,0.07,0.865002
100,0.08,0.871363
100,0.09,0.877023
